cp	ms	auc
0	200	0.705845395486665
0.002	200	0.705845395486665
0.004	200	0.705845395486665
0.006	200	0.705845395486665
0.008	200	0.706153122863004
0.01	200	0.706153122863004
0.012	200	0.5
0.014	200	0.5
0.016	200	0.5
0.018000000000000002	200	0.5
0.02	200	0.5
0.022	200	0.5
0.024	200	0.5
0.026000000000000002	200	0.5
0.028	200	0.5
0.03	200	0.5
0.032	200	0.5
0.034	200	0.5
0.036000000000000004	200	0.5
0.038	200	0.5
0.04	200	0.5
0.042	200	0.5
0.044	200	0.5
0.046	200	0.5
0.048	200	0.5
0.05	200	0.5
0.052000000000000005	200	0.5
0.054	200	0.5
0.056	200	0.5
0.058	200	0.5
0.06	200	0.5
0.062	200	0.5
0.064	200	0.5
0.066	200	0.5
0.068	200	0.5
0.07	200	0.5
0.07200000000000001	200	0.5
0.074	200	0.5
0.076	200	0.5
0.078	200	0.5
0.08	200	0.5
0.082	200	0.5
0.084	200	0.5
0.08600000000000001	200	0.5
0.088	200	0.5
0.09	200	0.5
0.092	200	0.5
0.094	200	0.5
0.096	200	0.5
0.098	200	0.5
0.1	200	0.5
0	500	0.705503476179622
0.002	500	0.705503476179622
0.004	500	0.705503476179622
0.006	500	0.705503476179622
0.008	500	0.705503476179622
0.01	500	0.705503476179622
0.012	500	0.5
0.014	500	0.5
0.016	500	0.5
0.018000000000000002	500	0.5
0.02	500	0.5
0.022	500	0.5
0.024	500	0.5
0.026000000000000002	500	0.5
0.028	500	0.5
0.03	500	0.5
0.032	500	0.5
0.034	500	0.5
0.036000000000000004	500	0.5
0.038	500	0.5
0.04	500	0.5
0.042	500	0.5
0.044	500	0.5
0.046	500	0.5
0.048	500	0.5
0.05	500	0.5
0.052000000000000005	500	0.5
0.054	500	0.5
0.056	500	0.5
0.058	500	0.5
0.06	500	0.5
0.062	500	0.5
0.064	500	0.5
0.066	500	0.5
0.068	500	0.5
0.07	500	0.5
0.07200000000000001	500	0.5
0.074	500	0.5
0.076	500	0.5
0.078	500	0.5
0.08	500	0.5
0.082	500	0.5
0.084	500	0.5
0.08600000000000001	500	0.5
0.088	500	0.5
0.09	500	0.5
0.092	500	0.5
0.094	500	0.5
0.096	500	0.5
0.098	500	0.5
0.1	500	0.5
0	20	0.707483283944989
0.002	20	0.705939898184029
0.004	20	0.704976350581263
0.006	20	0.706117981156447
0.008	20	0.706117981156447
0.01	20	0.706153122863004
0.012	20	0.5
0.014	20	0.5
0.016	20	0.5
0.018000000000000002	20	0.5
0.02	20	0.5
0.022	20	0.5
0.024	20	0.5
0.026000000000000002	20	0.5
0.028	20	0.5
0.03	20	0.5
0.032	20	0.5
0.034	20	0.5
0.036000000000000004	20	0.5
0.038	20	0.5
0.04	20	0.5
0.042	20	0.5
0.044	20	0.5
0.046	20	0.5
0.048	20	0.5
0.05	20	0.5
0.052000000000000005	20	0.5
0.054	20	0.5
0.056	20	0.5
0.058	20	0.5
0.06	20	0.5
0.062	20	0.5
0.064	20	0.5
0.066	20	0.5
0.068	20	0.5
0.07	20	0.5
0.07200000000000001	20	0.5
0.074	20	0.5
0.076	20	0.5
0.078	20	0.5
0.08	20	0.5
0.082	20	0.5
0.084	20	0.5
0.08600000000000001	20	0.5
0.088	20	0.5
0.09	20	0.5
0.092	20	0.5
0.094	20	0.5
0.096	20	0.5
0.098	20	0.5
0.1	20	0.5
0	2	0.506977053415394
0.002	2	0.700659144441912
0.004	2	0.704976350581263
0.006	2	0.706117981156447
0.008	2	0.706117981156447
0.01	2	0.706153122863004
0.012	2	0.5
0.014	2	0.5
0.016	2	0.5
0.018000000000000002	2	0.5
0.02	2	0.5
0.022	2	0.5
0.024	2	0.5
0.026000000000000002	2	0.5
0.028	2	0.5
0.03	2	0.5
0.032	2	0.5
0.034	2	0.5
0.036000000000000004	2	0.5
0.038	2	0.5
0.04	2	0.5
0.042	2	0.5
0.044	2	0.5
0.046	2	0.5
0.048	2	0.5
0.05	2	0.5
0.052000000000000005	2	0.5
0.054	2	0.5
0.056	2	0.5
0.058	2	0.5
0.06	2	0.5
0.062	2	0.5
0.064	2	0.5
0.066	2	0.5
0.068	2	0.5
0.07	2	0.5
0.07200000000000001	2	0.5
0.074	2	0.5
0.076	2	0.5
0.078	2	0.5
0.08	2	0.5
0.082	2	0.5
0.084	2	0.5
0.08600000000000001	2	0.5
0.088	2	0.5
0.09	2	0.5
0.092	2	0.5
0.094	2	0.5
0.096	2	0.5
0.098	2	0.5
0.1	2	0.5
