tipo_persona	n_deudas_actual	proxy_edad_actual	deuda_total_actual	deuda_con_garantia_actual	situacion_mes_actual	prop_con_garantia_actual	tiene_garantia_actual	mora_30_dias_mes_actual	n_meses_seg_bcra	media_deuda_total	media_deuda_situacion_1	media_deuda_situacion_2	media_deuda_con_garantia	media_deuda_sin_garantia	media_deuda_en_default	max_situacion_mes	max_sit_mes_sin_garantia	media_prop_situacion_1	media_prop_situacion_2	media_prop_default	media_prop_con_garantia	prop_tuvo_garantia	prop_mora_30_dias_seg	prop_default_seg	default	tiene_default_historico	tiene_garantia_historica	proxy_edad_actual_sqrt	prop_con_garantia_actual_sqrt	n_meses_seg_bcra_sqrt	media_prop_situacion_1_sqrt	media_prop_situacion_2_sqrt	media_prop_default_sqrt	media_prop_con_garantia_sqrt	prop_tuvo_garantia_sqrt	prop_mora_30_dias_seg_sqrt	prop_default_seg_sqrt	proxy_edad_actual_pot	prop_con_garantia_actual_pot	n_meses_seg_bcra_pot	media_prop_situacion_1_pot	media_prop_situacion_2_pot	media_prop_default_pot	media_prop_con_garantia_pot	prop_tuvo_garantia_pot	prop_mora_30_dias_seg_pot	prop_default_seg_pot
27	1	303	1	0	1	0	0	0	6	2.8333333333333335	2.8333333333333335	0	0	2.8333333333333335	0	1	1	1	0	0	0	0	0	0	0	0	0	17.406895185529212	0	2.449489742783178	1	0	0	0	0	0	0	91809	0	36	1	0	0	0	0	0	0
27	1	367	4	0	1	0	0	0	4	5.25	5.25	0	0	5.25	0	1	1	1	0	0	0	0	0	0	0	0	0	19.157244060668017	0	2	1	0	0	0	0	0	0	134689	0	16	1	0	0	0	0	0	0
20	3	82	90	0	1	0	0	0	7	185.14285714285714	104.42857142857143	8.714285714285714	0	185.14285714285714	72	4	4	0.5979453911393101	0.04257155038812152	0.3594830584725684	0	0	0.8571428571428571	0.8571428571428571	1	1	0	9.055385138137417	0	2.6457513110645907	0.7732692875960548	0.20632874348505476	0.5995690606365278	0	0	0.9258200997725514	0.9258200997725514	6724	0	49	0.35753869078474254	0.0018123369024483696	0.12922806932879202	0	0	0.7346938775510203	0.7346938775510203
20	1	243	71	0	1	0	0	0	7	49	49	0	0	49	0	1	1	1	0	0	0	0	0	0	0	0	0	15.588457268119896	0	2.6457513110645907	1	0	0	0	0	0	0	59049	0	49	1	0	0	0	0	0	0
27	1	297	4	0	1	0	0	0	7	11	11	0	0	11	0	1	1	1	0	0	0	0	0	0	0	0	0	17.233687939614086	0	2.6457513110645907	1	0	0	0	0	0	0	88209	0	49	1	0	0	0	0	0	0
20	1	78	6	0	1	0	0	0	6	15.666666666666666	15.666666666666666	0	0	15.666666666666666	0	1	1	1	0	0	0	0	0	0	0	0	0	8.831760866327848	0	2.449489742783178	1	0	0	0	0	0	0	6084	0	36	1	0	0	0	0	0	0
27	1	359	5	0	1	0	0	0	6	12.333333333333334	12.333333333333334	0	0	12.333333333333334	0	1	1	1	0	0	0	0	0	0	1	0	0	18.947295321496416	0	2.449489742783178	1	0	0	0	0	0	0	128881	0	36	1	0	0	0	0	0	0
27	1	285	2	0	1	0	0	0	6	1.5	1.5	0	0	1.5	0	1	1	1	0	0	0	0	0	0	0	0	0	16.881943016134134	0	2.449489742783178	1	0	0	0	0	0	0	81225	0	36	1	0	0	0	0	0	0
27	2	370	72	0	1	0	0	0	7	93.71428571428571	72.42857142857143	21.285714285714285	0	93.71428571428571	0	2	2	0.7608334537050412	0.23916654629495884	0	0	0	0.2857142857142857	0	1	0	0	19.235384061671343	0	2.6457513110645907	0.8722576762087229	0.48904656863632	0	0	0	0.5345224838248488	0	136900	0	49	0.578867544276741	0.05720063686665869	0	0	0	0.08163265306122448	0
20	1	221	20	0	1	0	0	0	7	18.285714285714285	18.285714285714285	0	0	18.285714285714285	0	1	1	1	0	0	0	0	0	0	0	0	0	14.866068747318506	0	2.6457513110645907	1	0	0	0	0	0	0	48841	0	49	1	0	0	0	0	0	0
20	1	319	5	0	1	0	0	0	7	5.714285714285714	5.714285714285714	0	0	5.714285714285714	0	1	1	1	0	0	0	0	0	0	0	0	0	17.86057109949175	0	2.6457513110645907	1	0	0	0	0	0	0	101761	0	49	1	0	0	0	0	0	0
20	2	324	23	0	1	0	0	0	6	7.833333333333333	7.833333333333333	0	0	7.833333333333333	0	1	1	1	0	0	0	0	0	0	0	0	0	18	0	2.449489742783178	1	0	0	0	0	0	0	104976	0	36	1	0	0	0	0	0	0
20	2	44	30	0	1	0	0	0	7	22.571428571428573	22.571428571428573	0	0	22.571428571428573	0	1	1	1	0	0	0	0	0	0	0	0	0	6.6332495807108	0	2.6457513110645907	1	0	0	0	0	0	0	1936	0	49	1	0	0	0	0	0	0
20	2	318	61	50	1	0.819672131147541	1	0	7	78.14285714285714	77.85714285714286	0.2857142857142857	65.42857142857143	12.714285714285714	0	2	2	0.9972108843537415	0.0027891156462585037	0	0.735379639876127	0.8571428571428571	0.2857142857142857	0	0	0	1	17.832554500127006	0.9053574604251853	2.6457513110645907	0.9986044684226791	0.05281207860194961	0	0.8575427918629641	0.9258200997725514	0.5345224838248488	0	101124	0.6718624025799517	49	0.9944295478735712	7.77916608820399e-6	0	0.5407832147443422	0.7346938775510203	0.08163265306122448	0
27	1	53	8	0	1	0	0	0	7	13.857142857142858	13.857142857142858	0	0	13.857142857142858	0	1	1	1	0	0	0	0	0	0	0	0	0	7.280109889280518	0	2.6457513110645907	1	0	0	0	0	0	0	2809	0	49	1	0	0	0	0	0	0
27	2	220	20	0	1	0	0	0	7	17.571428571428573	17.571428571428573	0	0	17.571428571428573	0	1	1	1	0	0	0	0	0	0	0	0	0	14.832396974191326	0	2.6457513110645907	1	0	0	0	0	0	0	48400	0	49	1	0	0	0	0	0	0
27	1	381	20	0	1	0	0	0	7	11.142857142857142	11.142857142857142	0	0	11.142857142857142	0	1	1	1	0	0	0	0	0	0	0	0	0	19.519221295943137	0	2.6457513110645907	1	0	0	0	0	0	0	145161	0	49	1	0	0	0	0	0	0
20	1	366	52	0	1	0	0	0	7	61.714285714285715	61.714285714285715	0	0	61.714285714285715	0	1	1	1	0	0	0	0	0	0	1	0	0	19.131126469708992	0	2.6457513110645907	1	0	0	0	0	0	0	133956	0	49	1	0	0	0	0	0	0
20	1	48	11	0	1	0	0	0	6	11.166666666666666	11.166666666666666	0	0	11.166666666666666	0	1	1	1	0	0	0	0	0	0	0	0	0	6.928203230275509	0	2.449489742783178	1	0	0	0	0	0	0	2304	0	36	1	0	0	0	0	0	0
27	1	310	8	0	1	0	0	0	7	8	5.142857142857143	2.857142857142857	0	8	0	2	2	0.7142857142857143	0.2857142857142857	0	0	0	0.2857142857142857	0	1	0	0	17.60681686165901	0	2.6457513110645907	0.8451542547285166	0.5345224838248488	0	0	0	0.5345224838248488	0	96100	0	49	0.5102040816326531	0.08163265306122448	0	0	0	0.08163265306122448	0
27	2	330	19	0	1	0	0	0	1	19	19	0	0	19	0	1	1	1	0	0	0	0	0	0	1	0	0	18.16590212458495	0	1	1	0	0	0	0	0	0	108900	0	1	1	0	0	0	0	0	0
20	1	338	28	0	1	0	0	0	6	29.333333333333332	16.5	12.833333333333334	0	29.333333333333332	0	2	2	0.6666666666666666	0.3333333333333333	0	0	0	0.3333333333333333	0	1	0	0	18.384776310850235	0	2.449489742783178	0.816496580927726	0.5773502691896257	0	0	0	0.5773502691896257	0	114244	0	36	0.4444444444444444	0.1111111111111111	0	0	0	0.1111111111111111	0
27	1	232	9	0	1	0	0	0	7	12.714285714285714	12.714285714285714	0	0	12.714285714285714	0	1	1	1	0	0	0	0	0	0	0	0	0	15.231546211727817	0	2.6457513110645907	1	0	0	0	0	0	0	53824	0	49	1	0	0	0	0	0	0
20	1	85	32	0	1	0	0	0	6	38.833333333333336	38.833333333333336	0	0	38.833333333333336	0	1	1	1	0	0	0	0	0	0	0	0	0	9.219544457292887	0	2.449489742783178	1	0	0	0	0	0	0	7225	0	36	1	0	0	0	0	0	0
Global	1	362	50	0	1	0	0	0	6	53.833333333333336	53.833333333333336	0	0	53.833333333333336	0	1	1	1	0	0	0	0	0	0	0	0	0	19.026297590440446	0	2.449489742783178	1	0	0	0	0	0	0	131044	0	36	1	0	0	0	0	0	0
