nrounds	max_depth	eta	subsample	colsample_bytree	gamma	auc
300	50	0.001	0.8	0.05	0	0.7631514349190703
500	50	0.001	0.8	0.05	0	0.7650478815769114
1000	50	0.001	0.8	0.05	0	0.7649050869280334
300	100	0.001	0.8	0.05	0	0.7636648270513239
500	100	0.001	0.8	0.05	0	0.7648702240204478
1000	100	0.001	0.8	0.05	0	0.7643721142586427
300	50	0.006	0.8	0.05	0	0.7679061624248538
500	50	0.006	0.8	0.05	0	0.7718958162600601
1000	50	0.006	0.8	0.05	0	0.7754179250743582
300	100	0.006	0.8	0.05	0	0.770029934343116
500	100	0.006	0.8	0.05	0	0.7716770873330162
1000	100	0.006	0.8	0.05	0	0.7726924098196871
300	50	0.011	0.8	0.05	0	0.7725371982448197
500	50	0.011	0.8	0.05	0	0.7736208138244323
1000	50	0.011	0.8	0.05	0	0.7729345398764802
300	100	0.011	0.8	0.05	0	0.7739130891592595
500	100	0.011	0.8	0.05	0	0.77396371201137
1000	100	0.011	0.8	0.05	0	0.7716259869068292
300	50	0.016	0.8	0.05	0	0.7718413728153374
500	50	0.016	0.8	0.05	0	0.7735415365277308
1000	50	0.016	0.8	0.05	0	0.7659046494701793
300	100	0.016	0.8	0.05	0	0.77341832241599
500	100	0.016	0.8	0.05	0	0.7720868458906661
1000	100	0.016	0.8	0.05	0	0.7673325959589592
300	50	0.021	0.8	0.05	0	0.7722831288361137
500	50	0.021	0.8	0.05	0	0.774375380865326
1000	50	0.021	0.8	0.05	0	0.7622741313405123
300	100	0.021	0.8	0.05	0	0.7737655187696164
500	100	0.021	0.8	0.05	0	0.7714659995911965
1000	100	0.021	0.8	0.05	0	0.7623046960814092
300	50	0.026000000000000002	0.8	0.05	0	0.7732335012483786
500	50	0.026000000000000002	0.8	0.05	0	0.7688350440036754
1000	50	0.026000000000000002	0.8	0.05	0	0.7577500721136855
300	100	0.026000000000000002	0.8	0.05	0	0.7711536661451558
500	100	0.026000000000000002	0.8	0.05	0	0.7709736207183097
1000	100	0.026000000000000002	0.8	0.05	0	0.7583809474687618
300	50	0.031	0.8	0.05	0	0.7719521700010888
500	50	0.031	0.8	0.05	0	0.76622796711998
1000	50	0.031	0.8	0.05	0	0.7548115588208887
300	100	0.031	0.8	0.05	0	0.7724392955591342
500	100	0.031	0.8	0.05	0	0.7669634311978131
1000	100	0.031	0.8	0.05	0	0.7530961127380468
300	50	0.036000000000000004	0.8	0.05	0	0.7703432229373098
500	50	0.036000000000000004	0.8	0.05	0	0.7640564377940662
1000	50	0.036000000000000004	0.8	0.05	0	0.7508381425042838
300	100	0.036000000000000004	0.8	0.05	0	0.7713021916829519
500	100	0.036000000000000004	0.8	0.05	0	0.763969041738064
1000	100	0.036000000000000004	0.8	0.05	0	0.7494073305710449
300	50	0.041	0.8	0.05	0	0.7707334009578226
500	50	0.041	0.8	0.05	0	0.7635597607544906
1000	50	0.041	0.8	0.05	0	0.7461923018879458
300	100	0.041	0.8	0.05	0	0.7689334242634375
500	100	0.041	0.8	0.05	0	0.760932148185505
1000	100	0.041	0.8	0.05	0	0.7451903514754173
300	50	0.046	0.8	0.05	0	0.7672451999029569
500	50	0.046	0.8	0.05	0	0.761695311559776
1000	50	0.046	0.8	0.05	0	0.742681654851484
300	100	0.046	0.8	0.05	0	0.7693302883210215
500	100	0.046	0.8	0.05	0	0.7576779584281318
1000	100	0.046	0.8	0.05	0	0.74145572219707
300	50	0.051000000000000004	0.8	0.05	0	0.7636925263477619
500	50	0.051000000000000004	0.8	0.05	0	0.755140129785531
1000	50	0.051000000000000004	0.8	0.05	0	0.7366073901722896
300	100	0.051000000000000004	0.8	0.05	0	0.7686936820770269
