trees	mtry	min_n	maxnodes	auc
300	5	34	10	0.7225829498413499
1200	5	34	10	0.7171008770170342
300	5	100	10	0.7179638533732967
1200	5	100	10	0.736080148391817
300	5	34	20	0.7375974012329052
1200	5	34	20	0.7346330989399766
300	5	100	20	0.7391222952592177
1200	5	100	20	0.7449549074556955
300	5	34	30	0.7428153755929082
1200	5	34	30	0.7485486523814708
300	5	100	30	0.7414404398266216
1200	5	100	30	0.7463881072593169
300	5	34	40	0.7426892960367082
1200	5	34	40	0.7487430250306125
300	5	100	40	0.7519322647135798
1200	5	100	40	0.744225651840857
300	5	34	50	0.7508491267080437
1200	5	34	50	0.7482081420649157
300	5	100	50	0.7511977557838996
1200	5	100	50	0.752324830604475
300	5	34	60	0.7518577631576434
1200	5	34	60	0.7556129281212808
300	5	100	60	0.7498638913881932
1200	5	100	60	0.751798066398079
300	5	34	70	0.7510860034499952
1200	5	34	70	0.7522398224188553
300	5	100	70	0.7473752528754735
1200	5	100	70	0.7508319340412892
300	5	34	80	0.7637584315703209
1200	5	34	80	0.7578412887622998
300	5	100	80	0.7642799424618753
1200	5	100	80	0.7586923257666497
300	5	34	90	0.7605988014800975
1200	5	34	90	0.7525029657350152
300	5	100	90	0.7499374377959765
1200	5	100	90	0.7585428450807005
300	5	34	100	0.754997335136653
1200	5	34	100	0.7512813312472897
300	5	100	100	0.752034465565954
1200	5	100	100	0.7542126809289389
300	5	34	110	0.7570704842028048
1200	5	34	110	0.757794008928725
300	5	100	110	0.7581679494306361
1200	5	100	110	0.7551692618041985
300	5	34	120	0.7608843907778535
1200	5	34	120	0.7639537593676154
300	5	100	120	0.7605897275726438
1200	5	100	120	0.7561831515686398
300	5	34	130	0.752178215362985
1200	5	34	130	0.7551463382485257
300	5	100	130	0.755791063251821
1200	5	100	130	0.7558908762338127
300	5	34	140	0.7534948870919368
1200	5	34	140	0.7592611164917791
300	5	100	140	0.758671312507283
1200	5	100	140	0.756508857088823
300	5	34	150	0.7602401433486348
1200	5	34	150	0.7542069500400207
300	5	100	150	0.7571712523329494
1200	5	100	150	0.7567242429973313
