tipo_persona	n_deudas_actual	proxy_edad_actual	deuda_total_actual	deuda_con_garantia_actual	situacion_mes_actual	prop_con_garantia_actual	tiene_garantia_actual	mora_30_dias_mes_actual	n_meses_seg_bcra	media_deuda_total	media_deuda_situacion_1	media_deuda_situacion_2	media_deuda_con_garantia	media_deuda_sin_garantia	media_deuda_en_default	max_situacion_mes	max_sit_mes_sin_garantia	media_prop_situacion_1	media_prop_situacion_2	media_prop_default	media_prop_con_garantia	prop_tuvo_garantia	prop_mora_30_dias_seg	prop_default_seg	default	tiene_default_historico	tiene_garantia_historica
27	1	303	1	0	1	0	0	0	6	2.8333333333333335	2.8333333333333335	0	0	2.8333333333333335	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	258	14	0	1	0	0	0	7	27.285714285714285	27.285714285714285	0	0	27.285714285714285	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	274	13	0	2	0	0	1	7	8.857142857142858	7	1.8571428571428572	0	8.857142857142858	0	2	2	0.8571428571428571	0.14285714285714285	0	0	0	0.14285714285714285	0	0	0	0
20	2	164	55	0	1	0	0	0	7	67.71428571428571	67.71428571428571	0	0	67.71428571428571	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	149	24	0	1	0	0	0	7	27.857142857142858	27.857142857142858	0	0	27.857142857142858	0	1	1	1	0	0	0	0	0	0	1	0	0
Global	1	174	13	0	1	0	0	0	6	14.833333333333334	14.833333333333334	0	0	14.833333333333334	0	1	1	1	0	0	0	0	0	0	0	0	0
20	2	329	78	0	1	0	0	0	7	54.285714285714285	53.42857142857143	0.8571428571428571	0	54.285714285714285	0	2	2	0.9768089053803339	0.023191094619666047	0	0	0	0.2857142857142857	0	0	0	0
27	3	399	52	0	1	0	0	0	7	42.285714285714285	42.285714285714285	0	0	42.285714285714285	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	379	8	0	1	0	0	0	7	15.857142857142858	15.857142857142858	0	0	15.857142857142858	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	367	4	0	1	0	0	0	4	5.25	5.25	0	0	5.25	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	316	37	0	1	0	0	0	7	69.71428571428571	69.71428571428571	0	0	69.71428571428571	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	62	7	0	1	0	0	0	2	6.5	6.5	0	0	6.5	0	1	1	1	0	0	0	0	0	0	0	0	0
20	3	112	48	0	1	0	0	0	7	48.57142857142857	46.857142857142854	1.7142857142857142	0.5714285714285714	48	0	2	2	0.9619047619047619	0.03809523809523809	0	0.010582010582010581	0.14285714285714285	0.14285714285714285	0	0	0	1
20	1	272	40	0	1	0	0	0	7	52.714285714285715	52.714285714285715	0	0	52.714285714285715	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	122	21	0	1	0	0	0	6	22.166666666666668	22.166666666666668	0	0	22.166666666666668	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	260	18	0	1	0	0	0	6	9.833333333333334	9.833333333333334	0	0	9.833333333333334	0	1	1	1	0	0	0	0	0	0	0	0	0
27	4	312	46	0	2	0	0	1	7	33.285714285714285	15.428571428571429	14.285714285714286	0	33.285714285714285	3.5714285714285716	3	3	0.49836227087779883	0.41235201483648687	0.08928571428571429	0	0	0.8571428571428571	0.14285714285714285	1	1	0
Global	2	285	9	0	1	0	0	0	7	27.428571428571427	23	1.5714285714285714	0	27.428571428571427	2.857142857142857	4	4	0.853673835125448	0.048131080389144903	0.09819508448540706	0	0	0.8571428571428571	0.7142857142857143	0	1	0
27	3	309	15	0	1	0	0	0	7	16.857142857142858	16.857142857142858	0	0	16.857142857142858	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	365	59	0	1	0	0	0	7	66.71428571428571	66.71428571428571	0	0	66.71428571428571	0	1	1	1	0	0	0	0	0	0	0	0	0
Global	3	105	76	0	1	0	0	0	7	131.57142857142858	131.57142857142858	0	0	131.57142857142858	0	1	1	1	0	0	0	0	0	0	0	0	0
20	3	166	56	0	1	0	0	0	7	67.14285714285714	46.42857142857143	20.714285714285715	0	67.14285714285714	0	2	2	0.7132884863838026	0.2867115136161974	0	0	0	0.5714285714285714	0	1	0	0
20	3	179	50	0	1	0	0	0	7	60.42857142857143	60.42857142857143	0	0	60.42857142857143	0	1	1	1	0	0	0	0	0	0	0	0	0
20	2	77	80	0	1	0	0	0	7	70.71428571428571	70.71428571428571	0	0	70.71428571428571	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	279	7	0	1	0	0	0	7	5.571428571428571	5.571428571428571	0	0	5.571428571428571	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	53	23	0	1	0	0	0	7	24.714285714285715	24.714285714285715	0	0	24.714285714285715	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	359	43	0	1	0	0	0	7	39.142857142857146	39.142857142857146	0	0	39.142857142857146	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	260	51	0	1	0	0	0	7	45.857142857142854	43.714285714285715	0	0	45.857142857142854	2.142857142857143	5	5	0.9306381728298321	0	0.0693618271701679	0	0	0.7142857142857143	0.7142857142857143	0	1	0
20	1	181	43	43	1	1	1	0	6	92.33333333333333	92.33333333333333	0	77.5	14.833333333333334	0	1	1	1	0	0	0.8550602541798764	1	0	0	0	0	1
27	1	120	35	0	1	0	0	0	7	38.857142857142854	38.857142857142854	0	0	38.857142857142854	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	48	85	0	1	0	0	0	7	59.857142857142854	59.857142857142854	0	0	59.857142857142854	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	313	53	0	1	0	0	0	7	74.71428571428571	74.71428571428571	0	0	74.71428571428571	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	288	6	0	1	0	0	0	6	5.166666666666667	5.166666666666667	0	0	5.166666666666667	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	312	76	0	1	0	0	0	7	43.857142857142854	43.857142857142854	0	0	43.857142857142854	0	1	1	1	0	0	0	0	0	0	0	0	0
