p	F1	Costo	Beneficio
0.05	0.1642512077294686	55	415
0.060000000000000005	0.25695364238410595	165	977
0.07	0.294017094017094	220	1081
0.08	0.3468950749464669	245	1169
0.09	0.3676470588235294	275	1192
0.1	0.3778337531486146	275	1203
0.11	0.37948717948717947	280	1204
0.12000000000000001	0.3821989528795811	285	1206
0.13	0.37994722955145116	290	1203
0.14	0.38709677419354843	290	1210
0.15000000000000002	0.38483965014577254	320	1203
0.16	0.3905325443786982	320	1208
0.16999999999999998	0.39999999999999997	320	1216
0.18	0.4061538461538462	320	1221
0.19	0.4100946372239747	325	1223
0.2	0.4129032258064516	330	1224
0.21000000000000002	0.411764705882353	335	1222
0.22000000000000003	0.40816326530612246	350	1216
0.22999999999999998	0.4098939929328622	360	1215
0.24	0.4113475177304965	360	1216
0.25	0.3956834532374101	375	1202
0.26	0.4	380	1204
0.27	0.38636363636363635	395	1192
0.28	0.35797665369649806	420	1169
0.29	0.340080971659919	440	1155
0.3	0.325	455	1144
0.31	0.31489361702127666	465	1137
0.32	0.2882882882882883	490	1120
0.33	0.2788461538461539	505	1116
0.33999999999999997	0.2660098522167488	515	1109
0.35	0.2564102564102564	525	1105
0.36	0.25	530	1102
0.37	0.22580645161290325	545	1090
0.38	0.2222222222222222	550	1090
0.39	0.19767441860465118	565	1080
0.4	0.17964071856287425	575	1073
0.41	0.14906832298136646	590	1061
0.42	0.1509433962264151	590	1063
0.43	0.13924050632911394	595	1058
0.44	0.14285714285714288	595	1062
0.45	0.1456953642384106	595	1065
0.46	0.1342281879194631	600	1061
0.47	0.13513513513513514	600	1062
0.48	0.11111111111111112	610	1054
0.49	0.0851063829787234	620	1045
0.5	0.043795620437956206	635	1031
0.51	0.04411764705882353	635	1032
0.52	0.044444444444444446	635	1033
0.53	0.044444444444444446	635	1033
0.54	NA	650	1018
0.55	NA	650	1019
0.56	NA	650	1019
0.5700000000000001	NA	650	1019
0.5800000000000001	NA	650	1019
0.5900000000000001	NA	650	1019
0.6000000000000001	NA	650	1019
0.6100000000000001	NA	650	1019
0.6200000000000001	NA	650	1019
0.63	NA	650	1019
0.64	NA	650	1019
